volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
311110	Kanaga	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1307	2023	-177.168	51.923
311111	Moffett	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Dated	1196	-1600	-176.747	51.944
311120	Great Sitkin	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1740	2026	-176.13	52.076
311130	Kasatochi	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	314	2008	-175.508	52.177
311140	Koniuji	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Dated	273	-1150	-175.13	52.22
311160	Atka Volcanic Complex	United States	Aleutian Ridge Volcanic Arc	Stratovolcano(es)	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1518	2025	-174.139	52.331
311180	Seguam	United States	Aleutian Ridge Volcanic Arc	Stratovolcano(es)	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1054	1993	-172.51	52.315
311190	Amukta	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1066	1996	-171.252	52.5
311200	Chagulak	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Evidence Uncertain	1028		-171.1383	52.5716
311210	Yunaska	United States	Aleutian Ridge Volcanic Arc	Shield	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	550	1937	-170.6317	52.6394
